subject,budget_k,snr_label,semantic_minus_fbcsp_pp
1,16,-10_dB,2.5084244956448396
1,16,-5_dB,4.309018171229162
1,16,0_dB,4.457296471727778
1,32,-10_dB,3.9626874522936784
1,32,-5_dB,4.943831755617056
1,32,0_dB,4.698635360352544
1,64,-10_dB,4.387062542705433
1,64,-5_dB,5.183899223051824
1,64,0_dB,3.4117693491452994
2,16,-10_dB,1.6712761687785793
2,16,-5_dB,2.3934079147113376
2,16,0_dB,2.6043113566148026
2,32,-10_dB,0.7238219848096805
2,32,-5_dB,1.1263308711799813
2,32,0_dB,1.1391690517187192
2,64,-10_dB,1.3897098528651008
2,64,-5_dB,2.023999310231722
2,64,0_dB,1.1798384154547203
3,16,-10_dB,3.1671835454926023
3,16,-5_dB,4.756913345097347
3,16,0_dB,4.8300422109732395
3,32,-10_dB,4.306035869797947
3,32,-5_dB,5.577339494043931
3,32,0_dB,4.808739301080989
3,64,-10_dB,5.5812644151421065
3,64,-5_dB,5.97536188609713
3,64,0_dB,4.472262136522353
4,16,-10_dB,1.0907038525316215
4,16,-5_dB,1.4798401197322397
4,16,0_dB,1.1992820501669998
4,32,-10_dB,2.297986760950094
4,32,-5_dB,2.6738757112212075
4,32,0_dB,2.2631011193453454
4,64,-10_dB,2.2593286484422883
4,64,-5_dB,2.8004035883947562
4,64,0_dB,2.0728106774848207
5,16,-10_dB,0.7726320392000219
5,16,-5_dB,1.0246455241588293
5,16,0_dB,0.8107845198309982
5,32,-10_dB,0.6906184570140639
5,32,-5_dB,0.900938364892373
5,32,0_dB,0.3860817815737494
5,64,-10_dB,1.5621733751803424
5,64,-5_dB,1.4226202417616296
5,64,0_dB,0.4571105249540408
6,16,-10_dB,0.9498366166813488
6,16,-5_dB,1.1662993520777765
6,16,0_dB,1.3562915048291213
6,32,-10_dB,1.867718814561159
6,32,-5_dB,2.3456693195360314
6,32,0_dB,2.4727933953666295
6,64,-10_dB,1.1183634018625321
6,64,-5_dB,1.2702111020799878
6,64,0_dB,0.8853491848375805
7,16,-10_dB,2.3832879964518883
7,16,-5_dB,3.6373314563407533
7,16,0_dB,4.366546361098445
7,32,-10_dB,2.987281144473414
7,32,-5_dB,4.177028047057119
7,32,0_dB,4.485843401246104
7,64,-10_dB,5.383937093051699
7,64,-5_dB,6.479502469559451
7,64,0_dB,5.080705240198446
8,16,-10_dB,1.8034015627825528
8,16,-5_dB,2.937264317164612
8,16,0_dB,3.5573046844726064
8,32,-10_dB,3.95751189968741
8,32,-5_dB,5.229562700615492
8,32,0_dB,5.265692914599962
8,64,-10_dB,4.408863198400237
8,64,-5_dB,5.04252786012297
8,64,0_dB,4.068298726152186
9,16,-10_dB,1.7374757586290424
9,16,-5_dB,2.9981235448794052
9,16,0_dB,2.2769288554856715
9,32,-10_dB,1.4618892410425577
9,32,-5_dB,1.6159052923739259
9,32,0_dB,0.5672926180791737
9,64,-10_dB,1.7799724696523522
9,64,-5_dB,1.2455867992092529
9,64,0_dB,-0.3699542859147864
