method,subject,budget_k,snr_order,snr_label,snr_db,balanced_accuracy,n_observations,n_directions,n_model_seeds,n_channel_realizations
Semantic residual,1,16,0,-10_dB,-10.0,0.4763798880232616,120,2,3,20
Semantic residual,1,16,1,-5_dB,-5.0,0.6008583790739671,120,2,3,20
Semantic residual,1,16,2,0_dB,0.0,0.7159182138282312,120,2,3,20
Semantic residual,1,16,3,5_dB,5.0,0.7666819541892429,120,2,3,20
Semantic residual,1,16,4,10_dB,10.0,0.7835902483047522,120,2,3,20
Semantic residual,1,16,5,15_dB,15.0,0.7938387661280676,120,2,3,20
Semantic residual,1,16,6,20_dB,20.0,0.7955337600189832,120,2,3,20
Semantic residual,1,16,7,noise_free,,0.7988271599414917,120,2,3,20
Semantic residual,1,32,0,-10_dB,-10.0,0.5254633216933177,120,2,3,20
Semantic residual,1,32,1,-5_dB,-5.0,0.6645707629236417,120,2,3,20
Semantic residual,1,32,2,0_dB,0.0,0.7538136490837054,120,2,3,20
Semantic residual,1,32,3,5_dB,5.0,0.7879393400522231,120,2,3,20
Semantic residual,1,32,4,10_dB,10.0,0.800813213707732,120,2,3,20
Semantic residual,1,32,5,15_dB,15.0,0.807289395553443,120,2,3,20
Semantic residual,1,32,6,20_dB,20.0,0.808452721307209,120,2,3,20
Semantic residual,1,32,7,noise_free,,0.8115126181202785,120,2,3,20
Semantic residual,1,64,0,-10_dB,-10.0,0.5904866769006092,120,2,3,20
Semantic residual,1,64,1,-5_dB,-5.0,0.7082042075375147,120,2,3,20
Semantic residual,1,64,2,0_dB,0.0,0.7830672887431471,120,2,3,20
Semantic residual,1,64,3,5_dB,5.0,0.8103607054300457,120,2,3,20
Semantic residual,1,64,4,10_dB,10.0,0.8213989974384827,120,2,3,20
Semantic residual,1,64,5,15_dB,15.0,0.8246984835530426,120,2,3,20
Semantic residual,1,64,6,20_dB,20.0,0.8277388154865581,120,2,3,20
Semantic residual,1,64,7,noise_free,,0.8273943577592509,120,2,3,20
Semantic residual,2,16,0,-10_dB,-10.0,0.3306335169491332,120,2,3,20
Semantic residual,2,16,1,-5_dB,-5.0,0.3824333216037928,120,2,3,20
Semantic residual,2,16,2,0_dB,0.0,0.4419317909285299,120,2,3,20
Semantic residual,2,16,3,5_dB,5.0,0.4781511283988641,120,2,3,20
Semantic residual,2,16,4,10_dB,10.0,0.4962706984573182,120,2,3,20
Semantic residual,2,16,5,15_dB,15.0,0.5019449475561597,120,2,3,20
Semantic residual,2,16,6,20_dB,20.0,0.5061061196954028,120,2,3,20
Semantic residual,2,16,7,noise_free,,0.5073500514844661,120,2,3,20
Semantic residual,2,32,0,-10_dB,-10.0,0.3390554255155686,120,2,3,20
Semantic residual,2,32,1,-5_dB,-5.0,0.3949821859267538,120,2,3,20
Semantic residual,2,32,2,0_dB,0.0,0.4533700615517769,120,2,3,20
Semantic residual,2,32,3,5_dB,5.0,0.4954535059359027,120,2,3,20
Semantic residual,2,32,4,10_dB,10.0,0.5252096612308719,120,2,3,20
Semantic residual,2,32,5,15_dB,15.0,0.5342599905764271,120,2,3,20
Semantic residual,2,32,6,20_dB,20.0,0.5371804459097841,120,2,3,20
Semantic residual,2,32,7,noise_free,,0.5364359012237331,120,2,3,20
