method,budget_k,snr_order,snr_label,snr_db,n_subjects,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_sem,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high
FBCSP + PCA,16,0,-10_dB,-10.0,9,0.3642053305176062,0.055906672887578265,0.018635557629192754,0.32123165756285216,0.4071790034723602
FBCSP + PCA,16,1,-5_dB,-5.0,9,0.43553921836847703,0.08266902646764583,0.027556342155881944,0.3719941794059124,0.49908425733104167
FBCSP + PCA,16,2,0_dB,0.0,9,0.5104806550800929,0.11378471345132081,0.037928237817106934,0.4230179818328373,0.5979433283273485
FBCSP + PCA,16,3,5_dB,5.0,9,0.5553075325728464,0.13072416491440225,0.043574721638134084,0.4548240442849387,0.655791020860754
FBCSP + PCA,16,4,10_dB,10.0,9,0.5747223352146508,0.1389517056426074,0.04631723521420247,0.4679145992794759,0.6815300711498257
FBCSP + PCA,16,5,15_dB,15.0,9,0.5821838053017918,0.14166489103607885,0.047221630345359616,0.47329053045431,0.6910770801492736
FBCSP + PCA,16,6,20_dB,20.0,9,0.5832866694126339,0.14380709684577161,0.04793569894859054,0.4727467494132821,0.6938265894119856
FBCSP + PCA,16,7,noise_free,,9,0.5838282101000838,0.14541518535268766,0.04847172845089589,0.47205220385182445,0.6956042163483431
FBCSP + PCA,32,0,-10_dB,-10.0,9,0.3862976470129277,0.06990237246826433,0.02330079082275478,0.3325659270221279,0.44002936700372747
FBCSP + PCA,32,1,-5_dB,-5.0,9,0.46280549969104634,0.10175494130079836,0.03391831376693279,0.38458972788534695,0.5410212714967457
FBCSP + PCA,32,2,0_dB,0.0,9,0.5325633300280832,0.1262242276679229,0.0420747425559743,0.4355387997063558,0.6295878603498106
FBCSP + PCA,32,3,5_dB,5.0,9,0.5714038392178652,0.14114652402336078,0.04704884134112026,0.46290901652867716,0.6798986619070533
FBCSP + PCA,32,4,10_dB,10.0,9,0.5902049940613001,0.1492274283199651,0.04974247610665503,0.4754986384640592,0.7049113496585411
FBCSP + PCA,32,5,15_dB,15.0,9,0.5958322387753907,0.15288680248012707,0.050962267493375686,0.47831303919628554,0.7133514383544959
FBCSP + PCA,32,6,20_dB,20.0,9,0.5987481816590225,0.15413644967044926,0.05137881655681642,0.48026841821710764,0.7172279451009375
FBCSP + PCA,32,7,noise_free,,9,0.599805402525836,0.1555912249663395,0.0518637416554465,0.48020739980121585,0.7194034052504562
FBCSP + PCA,64,0,-10_dB,-10.0,9,0.407930077255644,0.08100167223495716,0.027000557411652387,0.3456666802115561,0.4701934742997319
FBCSP + PCA,64,1,-5_dB,-5.0,9,0.4873120570344222,0.11224252119300583,0.03741417373100194,0.40103481769548466,0.5735892963733598
FBCSP + PCA,64,2,0_dB,0.0,9,0.5494765148596921,0.13811477720779736,0.046038259069265786,0.4433120990683645,0.6556409306510197
FBCSP + PCA,64,3,5_dB,5.0,9,0.5823053338358692,0.1480468704787593,0.0493489568262531,0.46850643532651776,0.6961042323452208
FBCSP + PCA,64,4,10_dB,10.0,9,0.5972280433666178,0.15310451282568105,0.05103483760856035,0.4795414968018046,0.7149145899314311
FBCSP + PCA,64,5,15_dB,15.0,9,0.6018311332391505,0.15548278612678834,0.051827595375596114,0.48231648398533755,0.7213457824929634
FBCSP + PCA,64,6,20_dB,20.0,9,0.6034532880631093,0.15535881213406075,0.05178627071135358,0.4840339336559255,0.722872642470293
FBCSP + PCA,64,7,noise_free,,9,0.6039162520489686,0.156578414302113,0.052192804767371,0.4835594284275074,0.7242730756704299
Receiver-only,32,0,-10_dB,-10.0,9,0.38662772956967156,0.06992079561071597,0.02330693187023866,0.33288184829797945,0.44037361084136367
Receiver-only,32,1,-5_dB,-5.0,9,0.46321340593152205,0.10204181059466565,0.03401393686488855,0.38477712686651566,0.5416496849965284
Receiver-only,32,2,0_dB,0.0,9,0.5331171691884329,0.1261628723872009,0.04205429079573363,0.43613980071039266,0.6300945376664732
Receiver-only,32,3,5_dB,5.0,9,0.5717489660406501,0.1413055857217404,0.0471018619072468,0.46313187770672337,0.6803660543745768
Receiver-only,32,4,10_dB,10.0,9,0.5909517220849198,0.1493812236532648,0.049793741217754935,0.47612714892949076,0.7057762952403488
Receiver-only,32,5,15_dB,15.0,9,0.5964644612435319,0.15267462579330196,0.05089154193110065,0.4791083551034976,0.7138205673835663
Receiver-only,32,6,20_dB,20.0,9,0.5992717110553879,0.15424045214573245,0.051413484048577485,0.4807120042341148,0.7178314178766609
Receiver-only,32,7,noise_free,,9,0.599422723702352,0.15519508544991237,0.05173169514997079,0.480129220765398,0.7187162266393059
Reconstruction latent,16,0,-10_dB,-10.0,9,0.25348070058009714,0.010980293098656073,0.0036600976995520246,0.24504050014967893,0.26192090101051535
Reconstruction latent,16,1,-5_dB,-5.0,9,0.2573582174132773,0.020026752327399724,0.0066755841091332415,0.24196429285271281,0.2727521419738418
Reconstruction latent,16,2,0_dB,0.0,9,0.2623226763669583,0.029930745913594143,0.00997691530453138,0.2393158684181272,0.28532948431578936
Reconstruction latent,16,3,5_dB,5.0,9,0.26416279993198055,0.036169759093506317,0.012056586364502105,0.23636026191899254,0.2919653379449686
Reconstruction latent,16,4,10_dB,10.0,9,0.2642474727510394,0.03923906930583227,0.013079689768610757,0.23408565405743537,0.2944092914446434
Reconstruction latent,16,5,15_dB,15.0,9,0.26443513003729274,0.03990507539965632,0.01330169179988544,0.23376137374154557,0.2951088863330399
Reconstruction latent,16,6,20_dB,20.0,9,0.26494842619034953,0.04016732870865053,0.013389109569550176,0.23407308415626515,0.2958237682244339
Reconstruction latent,16,7,noise_free,,9,0.2656310760095215,0.039963025258678814,0.013321008419559605,0.23491277550892756,0.2963493765101155
Reconstruction latent,32,0,-10_dB,-10.0,9,0.25810816567741135,0.013251943049613291,0.004417314349871097,0.2479218205201119,0.2682945108347108
Reconstruction latent,32,1,-5_dB,-5.0,9,0.26474353021853964,0.022030629352597066,0.0073435431175323555,0.24780928942245994,0.2816777710146193
Reconstruction latent,32,2,0_dB,0.0,9,0.27074396485479074,0.02904270783309847,0.009680902611032823,0.24841976340124025,0.29306816630834126
Reconstruction latent,32,3,5_dB,5.0,9,0.27510494436295524,0.036563780649293616,0.012187926883097873,0.24699953457096552,0.30321035415494496
Reconstruction latent,32,4,10_dB,10.0,9,0.27705806811533057,0.03790687576464364,0.012635625254881213,0.2479202640266843,0.3061958722039768
Reconstruction latent,32,5,15_dB,15.0,9,0.2788360702799125,0.03782748857889749,0.012609162859632497,0.24975928858413715,0.3079128519756878
Reconstruction latent,32,6,20_dB,20.0,9,0.2795337879935217,0.038225455448797775,0.012741818482932592,0.25015110188185824,0.30891647410518513
Reconstruction latent,32,7,noise_free,,9,0.2809430756819476,0.03880265804394401,0.012934219347981337,0.2511167123798649,0.3107694389840303
Reconstruction latent,64,0,-10_dB,-10.0,9,0.26478186632428496,0.020383873607842693,0.006794624535947564,0.2491134340472302,0.28045029860133974
Reconstruction latent,64,1,-5_dB,-5.0,9,0.27303785539437764,0.030688624419567778,0.010229541473189259,0.24944849045596068,0.2966272203327946
Reconstruction latent,64,2,0_dB,0.0,9,0.2808420817504832,0.04052702567465508,0.013509008558218362,0.2496902521527232,0.3119939113482432
Reconstruction latent,64,3,5_dB,5.0,9,0.2838926691453519,0.04519072673649112,0.015063575578830373,0.24915600156960854,0.3186293367210952
Reconstruction latent,64,4,10_dB,10.0,9,0.2850196293533499,0.04774096769770627,0.015913655899235424,0.24832267304349684,0.32171658566320294
