holm_family,comparison,method_a,method_b,budget_k,snr_order,snr_label,n_subjects,mean_method_a,mean_method_b,mean_paired_difference,mean_paired_difference_pp,median_paired_difference,sd_paired_difference,sem_paired_difference,ci95_difference_low,ci95_difference_high,ci95_difference_low_pp,ci95_difference_high_pp,cohen_dz,subject_wins_method_a,subject_ties,subject_losses_method_a,shapiro_wilk_statistic,shapiro_wilk_pvalue,selected_test,test_statistic,pvalue_raw,pvalue_holm,significant_holm_0_05
semantic_vs_receiver_only,Semantic residual vs Receiver-only,Semantic residual,Receiver-only,32,0,-10_dB,9,0.411026037706961,0.38662772956967156,0.024398308137289423,2.439830813728942,0.022806426955793713,0.013956307472163752,0.004652102490721251,0.01367054055629262,0.03512607571828623,1.367054055629262,3.5126075718286227,1.748192219607696,9,0,0,0.9148221263800105,0.35109771057920824,paired_t_test,5.244576658823089,0.0007789476477256049,0.006231581181804839,True
semantic_vs_receiver_only,Semantic residual vs Receiver-only,Semantic residual,Receiver-only,32,1,-5_dB,9,0.494572701420532,0.46321340593152205,0.031359295489009995,3.1359295489009993,0.02660373829155882,0.018089014650469002,0.006029671550156334,0.017454847960426574,0.045263743017593415,1.7454847960426574,4.526374301759342,1.733609933706197,9,0,0,0.9025842819902588,0.267359723425647,paired_t_test,5.200829801118592,0.0008215692069757331,0.006231581181804839,True
semantic_vs_receiver_only,Semantic residual vs Receiver-only,Semantic residual,Receiver-only,32,2,0_dB,9,0.5615492732984868,0.5331171691884329,0.028432104110053907,2.8432104110053906,0.023011949263604337,0.019396167047595916,0.006465389015865305,0.013522890303764922,0.043341317916342895,1.3522890303764923,4.33413179163429,1.4658619942942779,9,0,0,0.8658305128582586,0.11089466453390005,paired_t_test,4.397585982882834,0.002294147654844685,0.013764885929068108,True
semantic_vs_receiver_only,Semantic residual vs Receiver-only,Semantic residual,Receiver-only,32,3,5_dB,9,0.5912224730556661,0.5717489660406501,0.01947350701501592,1.947350701501592,0.01714354839670046,0.01753740789381241,0.005845802631270804,0.005993061973718053,0.03295395205631379,0.5993061973718053,3.2953952056313787,1.1103982488704394,7,0,2,0.9652079460664997,0.8509292089551724,paired_t_test,3.331194746611318,0.010365968357083475,0.05182984178541738,False
semantic_vs_receiver_only,Semantic residual vs Receiver-only,Semantic residual,Receiver-only,32,4,10_dB,9,0.6017754333714849,0.5909517220849198,0.010823711286565106,1.0823711286565108,0.008707445896468657,0.015347274595706197,0.005115758198568732,-0.0009732482740390045,0.02262067084716922,-0.09732482740390044,2.262067084716922,0.7052529893218515,7,0,2,0.9798839438250007,0.9636738459942795,paired_t_test,2.115758967965555,0.06726774967738852,0.2690709987095541,False
semantic_vs_receiver_only,Semantic residual vs Receiver-only,Semantic residual,Receiver-only,32,5,15_dB,9,0.605804927347025,0.5964644612435319,0.009340466103492928,0.9340466103492928,0.010254661589299885,0.015259693490146525,0.005086564496715508,-0.00238917265991573,0.021070104866901584,-0.23891726599157298,2.1070104866901582,0.6121005057882877,8,0,1,0.9705022850976207,0.8989907682519998,paired_t_test,1.836301517364863,0.10363138081025625,0.31089414243076874,False
semantic_vs_receiver_only,Semantic residual vs Receiver-only,Semantic residual,Receiver-only,32,6,20_dB,9,0.6065322541349079,0.5992717110553879,0.007260543079519973,0.7260543079519972,0.009249492601157483,0.014159101111560444,0.004719700370520148,-0.003623105491824122,0.018144191650864068,-0.3623105491824122,1.8144191650864068,0.5127827693519312,8,0,1,0.9587852889699169,0.7855228178133378,paired_t_test,1.5383483080557938,0.16252294584878949,0.32504589169757897,False
semantic_vs_receiver_only,Semantic residual vs Receiver-only,Semantic residual,Receiver-only,32,7,noise_free,9,0.6070647509886667,0.599422723702352,0.0076420272863148685,0.7642027286314869,0.008470435145761401,0.015509537491421997,0.005169845830473999,-0.0042796585771261875,0.019563713149755926,-0.42796585771261875,1.9563713149755926,0.49273083033852655,8,0,1,0.8904117576762522,0.20148101775703756,paired_t_test,1.4781924910155797,0.17761236821183318,0.32504589169757897,False
receiver_only_vs_fbcsp,Receiver-only vs FBCSP + PCA,Receiver-only,FBCSP + PCA,32,0,-10_dB,9,0.38662772956967156,0.3862976470129277,0.0003300825567439134,0.03300825567439134,0.0003446900109485007,0.0003587881477688483,0.00011959604925628277,5.42935726048442e-05,0.0006058715408829825,0.00542935726048442,0.06058715408829825,0.9199929228335918,7,0,2,0.957473331707721,0.7715389328025883,paired_t_test,2.7599787685007753,0.02467558253867154,0.19740466030937232,False
receiver_only_vs_fbcsp,Receiver-only vs FBCSP + PCA,Receiver-only,FBCSP + PCA,32,1,-5_dB,9,0.46321340593152205,0.46280549969104634,0.00040790624047568985,0.04079062404756899,0.0002211142348159667,0.0005331199255504473,0.00017770664185014912,-1.8860104839996702e-06,0.0008176984914353793,-0.00018860104839996702,0.08176984914353794,0.7651303598426299,8,0,1,0.8752275394763702,0.13980086428971494,paired_t_test,2.29539107952789,0.05083525444936723,0.30501152669620335,False
