holm_family,comparison,method_a,method_b,budget_k,snr_order,snr_label,n_subjects,mean_method_a,mean_method_b,mean_paired_difference,mean_paired_difference_pp,median_paired_difference,sd_paired_difference,sem_paired_difference,ci95_difference_low,ci95_difference_high,ci95_difference_low_pp,ci95_difference_high_pp,cohen_dz,subject_wins_method_a,subject_ties,subject_losses_method_a,shapiro_wilk_statistic,shapiro_wilk_pvalue,selected_test,test_statistic,pvalue_raw,pvalue_holm,significant_holm_0_05
semantic_vs_reconstruction,Semantic residual vs Reconstruction latent,Semantic residual,Reconstruction latent,16,0,-10_dB,9,0.3820766883355978,0.25348070058009714,0.12859598775550074,12.859598775550074,0.1231862473550433,0.05873180814334017,0.01957726938111339,0.08345072360664738,0.1737412519043541,8.345072360664737,17.37412519043541,2.1895458665541314,9,0,0,0.9607837620262311,0.8064882044282973,paired_t_test,6.568637599662394,0.00017502538163463057,0.002063897059363568,True
semantic_vs_reconstruction,Semantic residual vs Reconstruction latent,Semantic residual,Reconstruction latent,16,1,-5_dB,9,0.46298682253002305,0.2573582174132773,0.20562860511674583,20.562860511674582,0.19472521262383208,0.08835136053207908,0.029450453510693027,0.13771573753744965,0.273541472696042,13.771573753744965,27.3541472696042,2.3273960228613015,9,0,0,0.9636151098949649,0.8352965245513762,paired_t_test,6.9821880685839055,0.00011466094774242046,0.002063897059363568,True
semantic_vs_reconstruction,Semantic residual vs Reconstruction latent,Semantic residual,Reconstruction latent,16,2,0_dB,9,0.5387681973192036,0.2623226763669583,0.2764455209522454,27.64455209522454,0.25378653135713486,0.11635556178327287,0.03878518726109096,0.18700671874350172,0.36588432316098907,18.70067187435017,36.58843231609891,2.375868559400371,9,0,0,0.9647769059990186,0.8467447670063436,paired_t_test,7.127605678201114,9.925400333536788e-05,0.0018971715216330896,True
semantic_vs_reconstruction,Semantic residual vs Reconstruction latent,Semantic residual,Reconstruction latent,16,3,5_dB,9,0.5764972790984515,0.26416279993198055,0.31233447916647106,31.233447916647105,0.2810659152882312,0.12728172011461894,0.04242724003820631,0.21449708819306756,0.41017187013987455,21.449708819306757,41.01718701398745,2.45388323543404,9,0,0,0.9625521893404503,0.8246219436954839,paired_t_test,7.361649706302121,7.904881340137873e-05,0.0018971715216330896,True
semantic_vs_reconstruction,Semantic residual vs Reconstruction latent,Semantic residual,Reconstruction latent,16,4,10_dB,9,0.590115571399084,0.2642474727510394,0.3258680986480448,32.58680986480448,0.27782640972768863,0.13317694650489442,0.044392315501631474,0.22349923552999462,0.42823696176609494,22.349923552999464,42.823696176609495,2.4468806891894666,9,0,0,0.9515700947523339,0.7073061973889982,paired_t_test,7.3406420675684,8.066203024249894e-05,0.0018971715216330896,True
semantic_vs_reconstruction,Semantic residual vs Reconstruction latent,Semantic residual,Reconstruction latent,16,5,15_dB,9,0.594463811644528,0.26443513003729274,0.33002868160723514,33.002868160723516,0.27933437154862933,0.13602432597402844,0.04534144199134282,0.2254711288790788,0.43458623433539145,22.54711288790788,43.458623433539145,2.42624750568695,9,0,0,0.954055926256351,0.7345338728508811,paired_t_test,7.278742517060851,8.563160542379273e-05,0.0018971715216330896,True
semantic_vs_reconstruction,Semantic residual vs Reconstruction latent,Semantic residual,Reconstruction latent,16,6,20_dB,9,0.5956841557611918,0.26494842619034953,0.3307357295708423,33.07357295708423,0.2785624232139673,0.1367257309067631,0.0455752436355877,0.22563902928423973,0.43583242985744486,22.563902928423975,43.583242985744484,2.4189721084495774,9,0,0,0.9558848718318809,0.7544247211169957,paired_t_test,7.256916325348732,8.74641089218553e-05,0.0018971715216330896,True
semantic_vs_reconstruction,Semantic residual vs Reconstruction latent,Semantic residual,Reconstruction latent,16,7,noise_free,9,0.5957932911017834,0.2656310760095215,0.3301622150922618,33.01622150922618,0.2778185443727596,0.13773047037326377,0.045910156791087925,0.2242932036841414,0.4360312265003822,22.42932036841414,43.603122650038216,2.3971617478506255,9,0,0,0.9540951540359294,0.7349621000914852,paired_t_test,7.191485243551877,9.322329935153144e-05,0.0018971715216330896,True
semantic_vs_reconstruction,Semantic residual vs Reconstruction latent,Semantic residual,Reconstruction latent,32,0,-10_dB,9,0.411026037706961,0.25810816567741135,0.15291787202954973,15.291787202954973,0.13405727649673815,0.07629672896675045,0.025432242988916817,0.0942710145295904,0.21156472952950905,9.42710145295904,21.156472952950907,2.004252005301436,9,0,0,0.949808988183187,0.6879654423028144,paired_t_test,6.012756015904308,0.0003188318811567734,0.002063897059363568,True
semantic_vs_reconstruction,Semantic residual vs Reconstruction latent,Semantic residual,Reconstruction latent,32,1,-5_dB,9,0.494572701420532,0.26474353021853964,0.2298291712019924,22.98291712019924,0.19097608203205713,0.1096412026332756,0.0365470675444252,0.14555148231496193,0.3141068600890229,14.555148231496192,31.41068600890229,2.0961934535752738,9,0,0,0.9494886264951371,0.6844478231107344,paired_t_test,6.288580360725821,0.00023567103757385382,0.002063897059363568,True
